manufacturer,type,avg_price,median_price,total_listings
acura,SUV,22778.24236147074,23990.0,1931
acura,coupe,10641.728395061727,4500.0,81
acura,hatchback,11970.84,5995.0,25
acura,mini-van,3999.0,3999.0,1
acura,other,34232.159021406726,37590.0,981
acura,sedan,15825.509696668325,15892.0,2011
acura,truck,9175.0,10900.0,4
acura,unknown,12344.075134168157,7999.0,559
acura,van,7566.666666666667,7600.0,3
acura,wagon,15166.657142857142,15590.0,70
alfa-romeo,SUV,28672.26530612245,28163.0,49
alfa-romeo,convertible,10000.0,10500.0,3
alfa-romeo,coupe,3500.0,3500.0,1
alfa-romeo,hatchback,30300.26785714286,29990.0,448
alfa-romeo,other,30202.125,31944.0,8
alfa-romeo,sedan,29980.595667870035,28990.0,277
alfa-romeo,unknown,30158.02380952381,29950.0,42
alfa-romeo,wagon,30120.333333333332,27996.5,6
aston-martin,convertible,59596.5,42747.5,4
aston-martin,coupe,47291.444444444445,40000.0,9
aston-martin,sedan,67327.33333333333,74991.0,3
aston-martin,unknown,83575.6,70000.0,5
audi,SUV,23856.79273827534,21997.0,1322
audi,convertible,20765.878151260506,16599.0,238
audi,coupe,28153.17370892019,29990.0,639
audi,hatchback,26274.183544303796,21831.0,158
audi,other,39236.46635367762,32590.0,639
audi,pickup,17995.0,17995.0,1
audi,sedan,24213.767838496344,24990.0,2873
audi,truck,14995.0,14995.0,2
audi,unknown,17228.895582329318,13900.0,747
audi,wagon,25144.403258655806,26590.0,491
bmw,SUV,20394.533499791927,17000.0,2403
bmw,bus,18495.0,18495.0,2
bmw,convertible,21639.257367387032,15999.0,1018
bmw,coupe,23893.658777120316,22500.0,1521
bmw,hatchback,21136.495,19498.0,200
bmw,other,30358.168358714043,32590.0,1182
bmw,sedan,19514.089842973564,17590.0,5031
bmw,truck,9007.666666666666,7625.0,6
bmw,unknown,14982.497950819672,12000.0,1952
bmw,van,384.0,384.0,1
bmw,wagon,18936.39150943396,20235.5,212
buick,SUV,20268.578532443906,19995.0,1649
buick,convertible,14849.0,16700.0,19
buick,coupe,6491.585365853659,4500.0,41
