price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,drive,type,state
7000,1997.0,chevrolet,silverado 2500hd,good,8 cylinders,gas,188000.0,automatic,rwd,truck,in
31995,2017.0,ford,f250 crew cab 4x4,new,8 cylinders,gas,125601.0,automatic,4wd,truck,tx
26990,2014.0,ford,mustang gt coupe 2d,good,8 cylinders,gas,38983.0,other,rwd,coupe,fl
18000,2008.0,ford,f350 super duty,good,8 cylinders,diesel,2000.0,automatic,4wd,pickup,tx
21590,2019.0,volkswagen,jetta 1.4t sel,good,unknown,gas,7898.0,other,fwd,sedan,mn
8865,2011.0,chevrolet,traverse,unknown,unknown,gas,129000.0,automatic,4wd,SUV,va
1500,2006.0,ford,expedition eddie bauer 4x4,fair,8 cylinders,gas,210000.0,automatic,4wd,SUV,tn
11498,2017.0,kia,forte,excellent,unknown,gas,59733.0,automatic,fwd,sedan,ca
17999,2020.0,chevrolet,trax fwd 4dr ls,unknown,unknown,gas,3496.0,automatic,fwd,SUV,sc
6995,2008.0,hyundai,santa fe gls,good,6 cylinders,gas,107000.0,automatic,fwd,SUV,ny
25990,2018.0,toyota,rav4 hybrid le sport,good,unknown,gas,15486.0,other,unknown,SUV,ca
40987,2017.0,ford,f-350,unknown,unknown,gas,56241.0,automatic,4wd,truck,mt
2200,1998.0,honda,accord,good,6 cylinders,gas,272000.0,automatic,fwd,sedan,ca
22500,2009.0,ram,2500 megacab laramie,excellent,6 cylinders,diesel,160477.0,automatic,4wd,truck,va
4995,2008.0,toyota,sienna,unknown,unknown,gas,158806.0,automatic,unknown,van,me
8200,2007.0,dodge,dakota slt,good,unknown,gas,198000.0,automatic,unknown,truck,fl
8900,2015.0,ford,taurus sel - awd,good,6 cylinders,gas,129221.0,automatic,4wd,sedan,ny
8008,2012.0,volkswagen,tiguan,like new,4 cylinders,gas,142035.0,automatic,fwd,SUV,sc
3900,2009.0,honda,civic,unknown,unknown,gas,220000.0,automatic,unknown,unknown,pa
15897,2016.0,ford,transit connect wagon,unknown,4 cylinders,gas,71097.0,other,fwd,van,al
49000,2019.0,ram,1500,unknown,unknown,gas,37691.0,automatic,4wd,pickup,wa
20999,2014.0,mercedes-benz,gl-class,excellent,8 cylinders,gas,121042.0,automatic,4wd,unknown,ca
8400,2009.0,mercedes-benz,benz e350,excellent,6 cylinders,gas,159000.0,automatic,4wd,sedan,nj
270,2020.0,ford,fusion sel,unknown,4 cylinders,gas,88361.0,automatic,fwd,sedan,or
11800,2010.0,ford,f-150,unknown,unknown,gas,98000.0,automatic,unknown,truck,hi
20995,2017.0,chevrolet,traverse,excellent,unknown,gas,28347.0,automatic,4wd,SUV,mi
8547,2013.0,toyota,camry,unknown,4 cylinders,gas,129701.0,automatic,fwd,sedan,il
7495,2007.0,mercury,milan premier,like new,6 cylinders,gas,85420.0,automatic,fwd,sedan,pa
20000,2013.0,ford,f-150 xl automatic,unknown,unknown,gas,72530.0,automatic,rwd,pickup,tx
23990,2015.0,honda,odyssey ex-l minivan 4d,good,6 cylinders,gas,43087.0,other,fwd,van,az
31990,2014.0,gmc,yukon xl 1500 denali sport,good,unknown,other,57899.0,other,unknown,SUV,al
27995,2016.0,gmc,sierra,excellent,8 cylinders,gas,101705.0,automatic,4wd,truck,wi
2500,2008.0,gmc,acadia,excellent,6 cylinders,gas,163000.0,automatic,4wd,SUV,mi
4000,2005.0,acura,tl,good,6 cylinders,gas,110000.0,automatic,fwd,sedan,oh
7900,2013.0,chevrolet,sonic lt,like new,4 cylinders,gas,37000.0,automatic,fwd,sedan,mi
8900,2017.0,chevrolet,cruze lt,excellent,4 cylinders,gas,40635.0,automatic,fwd,sedan,wi
4995,2005.0,jeep,grand cherokee,unknown,unknown,gas,172107.0,automatic,4wd,SUV,ks
11900,2010.0,lincoln,mkz,unknown,6 cylinders,gas,40623.0,automatic,fwd,sedan,ca
15900,2017.0,hyundai,sonata,unknown,unknown,gas,64003.0,automatic,fwd,unknown,ca
4800,1994.0,chevrolet,suburban,good,8 cylinders,gas,140000.0,automatic,4wd,unknown,ia
27990,2012.0,gmc,sierra 2500 hd extended cab,good,8 cylinders,gas,68696.0,other,4wd,pickup,tx
12995,2016.0,chevrolet,equinox,unknown,4 cylinders,gas,101000.0,automatic,unknown,SUV,ny
30990,2019.0,mazda,mx-5 miata grand touring,good,unknown,gas,4936.0,other,rwd,other,md
20919,2019.0,dodge,grand caravan,unknown,6 cylinders,gas,28093.0,automatic,fwd,van,tx
34100,2017.0,lexus,rc,unknown,unknown,gas,34777.0,automatic,fwd,coupe,tx
28998,2018.0,dodge,challenger,unknown,6 cylinders,gas,39190.0,automatic,rwd,coupe,mt
18495,2014.0,chevrolet,express cargo van,excellent,unknown,gas,90582.0,automatic,rwd,truck,wi
6999,2012.0,mazda,mazda3 i grand touring,good,4 cylinders,gas,122704.0,automatic,unknown,sedan,ca
12995,2009.0,chevrolet,trailblazer,unknown,unknown,gas,201619.0,automatic,4wd,unknown,mn
17600,2014.0,ford,transit connect,excellent,4 cylinders,gas,45026.0,automatic,fwd,van,ky
23995,2014.0,mercedes-benz,e-class,excellent,unknown,gas,62782.0,automatic,4wd,sedan,il
19900,2011.0,jeep,wrangler 4x4,unknown,unknown,gas,65952.0,manual,unknown,unknown,ct
29590,2013.0,gmc,sierra 1500 extended cab slt,good,8 cylinders,gas,37888.0,other,unknown,pickup,nc
